job_title,count,cant_use
STAMFORD HOSPITAL- ROOM SERVICE OPERATOR $18.11/hr,1,
Supervisor - Food and Nutrition Services,1,
WIC Nutrition Education Coordinator,1,X
Dietaid-CHANNING HOUSE,1,
Director - Nutrition Care,1,
NUTRITION ASSISTANT,1,
NUTRITION SERVICE ASSOC,1,
REASONS EATING DISORDER DIET AIDE - SAN MARINO,1,
"Supv, Food & Nutrition Srvcs",1,
"TECHNICIAN, DIET - HRLY",1,
Dietary Tech-P/D-Milford,1,
Food and Nutrition Services Manager I University Heights,1,
Milk Room Technician @ MUSC,1,
NUTRITION & DINING SERVICES TECHNICIAN II - Patient Server/Meal Delivery,1,
Nutritionist (WIC) - Maryvale,1,X
Patient Educator (WIC),1,
Program Manager (Food Service Manager),1,
Room Service Associate,1,
Dietetic Intern,1,X
Dietetic Technician-Per Diem,1,
Dietetic Technician Part Time,1,
Lead Dietetic Technician,1,
Nutrition Associate - PT Variable Shift,1,
OPS NUTRITION EDUCATOR - 64914084,1,
Dietetic Technician (DTR) Part Time,1,
"Dietetic Technician (Full Time, Toms River)",1,
Food and Nutrition Services Manager I The Green House,1,
Nutrition Associate - Per Diem,1,
Dietary Clerk,1,
DIETETIC ASSISTANT - PER DIEM,1,
Dietetic Clerk @ Summerlin Hospital,1,
Nutrition Therapist II,1,X
Nutrition Therapist II 190108-UNCZ-02,1,X
Registered Dietitian- Food and Nutrition Manager (Healthcare),1,X
"Registered Dietitian - Eating Disorder, Residential",1,
Cook,1,X
Diet Technician - Registered,1,
Dietary Technician Part-time,1,
Nutrition Services Associate,1,
Nutrition Services Coordinator I 8130-012,1,
NUTRITION SERVICES MANAGER,1,
Registered Dietitian I - Grade 30,1,X
Dietetic Tech Registered,1,
Dietetic Technician - Genetics,1,
Dietetic Technician (Part time),1,
Dietician Technician (Registered),1,
Dietitian - Kidney Acquisition,1,X
Lead Nutrition Office Clerk SCH,1,
NUTRITION & DINING SERVICES TECHNICIAN III - Cook,1,
Nutrition Tech/Nutrition Aide,1,
Dietary Tech,1,
Dietetic Clerk/Johnston Willis,1,
Dietitian Clinical- Nutrition & Food Service- Full-Time -Days,1,X
Director of Food Service,1,
Food Services Specialist,1,
Nutrition Technician I - Omaha (on call) Evenings,1,
"TECHNICIAN, DIET - HOURLY @ The Cottages at Garden Grove",1,
Chef Manager - Monday - Friday position,1,
Diet Tech (Part-time),1,
"Dietitian 2, Creedmoor Psychiatric Center, P19767",1,X
"Education Specialist, Food & Nutrition (Raleigh) - FT Days",1,
"MGR, PATIENT SVCS II",1,
"Nutrition Care Technician Rotating Shift, Contingent CHS",1,
Nutritionist II,1,X
Nutritionist II- WIC Director,1,X
PT Dietetic Clerk @ St. Louis Univ Hosp $11.73/hr,1,
Dietary Technician PRN (scheduled as needed),1,
Dietetic Clerk-Sodexo @ Nebraska Med,1,
DIETETIC TECH-REGISTERED-MARTIN,1,
Dietetic Technician (Pediatrics),1,
FT Dietetic Clerk @ St. Louis Univ Hospital $11.73,1,
Nutrition Assistant - Per Diem,1,
Patient Services Supervisor - Food & Nutrition Services,1,
REGISTERED DIETITIAN,1,X
Diet Assistant,1,
Diet Clerk - Weekends Broadlawns,1,
"Diet Tech - Katonah, NY",1,
Executive Chef,1,
FT Dietetic Clerk @ St. Louis Univ Hosp $11.73/hr,1,
"Nutrition Care Manager- Gwyneed, PA",1,
"PATIENT FOOD SERVICES MGR II - SUTTER SUMMIT - OAKLAND, CA",1,
Registered Dietitian - Diabetes Educator,1,X
Registered Dietitian - PGMC,1,X
Registered Dietitian I/II,1,X
"ASSIST DIR, PEDIATRIC NUTRITION SERVICES",1,
Certified Dietary Manager - Assisted Living,1,
CLINICAL NUTRITION COORDINATOR,1,X
Dietary Technician - PRN,1,
General Manager 4 - Food,1,
Registered Dietetic Tech I - Food Services - Per Diem - Days,1,
"Registered Dietitian, Health and Wellness Center, Part Time",1,X
Senior Living Dining Director - Prairie Creek,1,
UConn Health - Part Time Dietetic Clerk,1,
WIC Director-Health Dept,1,X
Bilingual Health Aide,1,
DIET CLERK FULL TIME ROTATING SHIFT,1,
Dietary Assistant Food Service,1,
Dietetic Clerk HCA Healthcare Houston West,1,
Dietician- Full Time,1,X
Patient Services Team Leader,1,
"TECHNICIAN, DIET - HOURLY",1,
Dietitian - Weight Loss Services,1,X
Dining Coordinator,1,
FOOD SERVICE DIRECTOR,1,
Lead Dietary Technician,1,
Patient Dining Specialist,1,
Registered Dietitian; 0.5FTE,1,X
CLINICAL DIETITIAN - PD,1,X
"Clinical Nutrition Supervisor, Waterbury, CT (Full-time, 40 hours)",1,
Director of Food,1,
Inpatient Clinical Dietitian,1,X
PSM,1,
Staff Dietitian,1,X
WIC Registered Dietitian/Nutritionist,1,X
Clinical Dietitan Full Time Days,1,X
Clinical Dietitian - Per Diem,1,X
Clinical Dietitian PRN Days Resolute Health Hospital,1,X
Dietary Service Supervisor,1,
Dietitian - Lvl II 00054871 (Q),1,X
"PATIENT SERVICES MANAGER (TEMP) - New Haven, CT",1,
Registered Dietitian I - Grade 30 - Eating Disorder,1,X
TRAVELING PATIENT SERVICES MANAGER,1,
Clinical Dietitian PRN Days Mission Trail Baptist Hospital,1,X
Clinical Nutrition Assistant II - Evenings,1,
Dietary Supervisor,1,
Dietetic Technician @ CMH Adele Hall 3rd Shift,1,
GCRMC - Room Service Operator,1,
Nutritionist-Hughes Spalding (PRN),1,
"Registered Dietitian I - Grade 30, (Temporary)",1,X
"Supervisor, Food Services",1,
"WIC Registered Dietitian, Nutritionist",1,X
"Coord, Clinical Nutrition",1,X
"Dietary Tech, PRN",1,
Dietetic Technician – PRN,1,
Dietitian - NDI,1,X
Director of Food Services,1,
Nutritionist 1-Center for Advanced Pediatrics (Feeding),1,
Sr Dietitian Asst Formula,1,
Clinical Dietitian Dade City PRN Days,1,X
Clinical Dietitian PRN Days Baptist Medical Center,1,X
DIET TECH II C,1,
Dietary Aide Supervisor,1,
Food & Nutrition Services Supervisor (PRN),1,
Food Service Manager 3,1,
"Per Diem Registered Dietitian - Eating Disorder, Residential",1,X
Weekend and Per Diem Nutritional Services Supervisor,1,
Clinical Dietitian PRN Days North Central Baptist Hospital,1,X
Dietary Manager,1,
Dietitian Cardiovascular - Vinings Health Park - PRN - Days,1,X
Food & Nutrition Services Supervisor,1,
Patient Food Services Supervisor - Per Diem - Relief Position,1,
PT Diet Clerk/Food Service Worker @ PMC,1,
Clinical Dietitian Per Diem,1,X
"PATIENT SERVICES MANAGER I - MAYO CLINIC - JACKSONVILLE, FL",1,
Per Diem Registered Dietician,1,X
"REGIONAL MANAGER, PATIENT SERVICES",1,
Registered Dietician - South Hadley location,1,X
REGISTERED DIETITIAN - Inpatient Hematology/Oncology,1,X
TEMPORARY DIET TECH,1,
Adjunct Instructor - Home Economics,1,
Administrative Dietitian (Patient Food Services Manager) - Patient Food Services - Full Time - Days,1,X
Clinical Dietitian- Research Clinical Dietitians,1,X
Executive Chef/Director of Independent Living Culinary,1,
"PATIENT SERVICES MANAGER I/RD - SUTTER SUMMIT - OAKLAND, CA",1,X
Patient Services Supervisor,1,
