"","job_title","company_name","job_location","job_description"
"35","Dietetic Technician Cleveland Pines","Atrium Health","Shelby, NC 28150","Shelby, NC 28150CommissionProvides clinical nutrition services including medical nutrition therapy (MNT) with screening, evaluation and education of patients and monitoring and implementation of MNT for patients assigned.Essential FunctionsScreens and evaluates nutritional status of patients utilizing current scientific literature and methodology.
Monitors patient's progress in achieving nutrition goals through evaluation of dietary intake, evaluation of laboratory reports, and review of documentation.
Completes all required documentation including nutritional care plan, assessments, nutrient intake analyses and patient education in the patient's medical record and on all required documentation tools.
Utilizes appropriate education materials for specific patient populations within area of documented competency.
Assists in monitoring Food and Nutrition Services associate's activities on units to ensure standards of excellence are met for customer satisfaction. Ensures accuracy of patient trays tickets and trays through routine monitors.
Provides/develops periodic in-services on selected topics to nutrition services staff and other disciplines as requested.
Orients, mentors, and trains team members as applicable.
Physical Requirements
Must be able to see objects closely, as in reading, on a continuous basis. Must be able to see objects far away occasionally. Must be able to discriminate color occasionally and perceive depth rarely. Must be able to hear normal sounds with some background noise, as in answering a phone on a continuous basis. Able to lift and carry objects weighing 25 pounds or less occasionally. Able to push/pull objects using moderate effort occasionally. Able to perform motor skills as reaching out/up. Frequently turning, climbing stairs, grasping and finger manipulation. Infrequently squatting, twisting, and bending.Education, Experience and Certifications
High School Diploma or GED required.Acute Care Setting:
Registered Dietetic Technician (commission on Dietetic Registration) required. DTR eligible status accepted but must obtain DTR status within 6 months of hire and be closely supervised by registered dietitians until DTR status obtained. Degree in Nutrition or a related field preferred. 1 year experience in acute care setting preferred.Long-Term Care Setting:
Certified Dietary Manager or Dietetic Technician, registered required. May be hired prior to certification/registration as CDM or DTR but must obtained within 6 months of hire and be closely supervised by registered dietitians until obtained. 1 year experience in a long-term care setting preferred.
At Atrium Health, formerly Carolinas HealthCare System, our patients, communities and teammates are at the center of everything we do. Our commitment to diversity and inclusion allows us to deliver care that is superior in quality and compassion across our network of more than 900 care locations.
As a leading, innovative health system, we promote an environment where differences are valued and integrated into our workforce. Our culture of inclusion and cultural competence allows us to achieve our goals and deliver the best possible experience to patients and the communities we serve.
Posting Notes: Not Applicable
Carolinas HealthCare System is an EOE/AA Employer"
"36","Food and Nutrition Services (Healthcare)","Compass Group USA","Los Alamitos, CA","Los Alamitos, CA1+ years experienceMorrison Healthcare is a leading national food and nutrition services company exclusively dedicated to serving more than 600 hospitals and healthcare systems. Morrison's hospital kitchens, restaurants, and cafés feature socially responsible practices and exceptional guest experiences. The company's comprehensive Mindful Choices® wellness and sustainability platform includes the latest in healthful eating and an understanding of behavioral change in food consumption. Morrison's alignment with Partnership for a Healthier America's (PHA) Hospital Healthy Food Initiative positively impacts up to 41 million patients and 500 million hospital meals annually. Morrison has been named one of Modern Healthcare's ""Top 100 Best Places to Work in Healthcare"" for the past five years, and Training Magazine's Top 125 organizations for the past six consecutive years. The company is a division of Compass Group and has more than 1,200 registered dietitians, 300 executive chefs, and 17,000 professional food service team members.Job Summary: Working as a Patient Services Manager in Los Alamitos, CA, you will have the opportunity to perform a variety of duties to include the planning and supervision of patient food assembly and service, and the scheduling, hiring, dismissal and training of tray line, diet office and hospitality personnel. Additionally, as a member of the management team, you will ensure patient satisfaction and good public relations through the safe and efficient use of resources. This exciting position will provide both challenge and satisfaction while allowing you continued career growth.Key Responsibilities: Establishes goals and oversees implementation of patient food services needs based upon medical direction, patient population and contractHires, leads, directs, coaches, trains, and develops patient services team membersComplies with dietary restrictions on special or modified diets to ensure optimal food preferences are met within guidelines of diet order limitationsComplies with regulatory agencies, including federal, state, and Joint Commission as evidenced by successful completion of surveys with no deficienciesVisits patients on an assigned nursing unit or area and helps ensure that every patient is visited by a member of the management or professional team at least once during their hospital stayEnsures patient services staff assists in achieving stated patient satisfaction goalsParticipates in facility-wide and department Performance Improvement Program and on Performance Improvement teams to improve processes and patient careFollows facility, department, and Company safety policies and procedures to include occurrence reportingParticipates and attends all departmental meetings, staff development, and professional programs, as appropriatePreferred Qualifications: B.S. Degree in Food Services Technology/Management, Dietetics or related field; or Associate’s Degree plus three years of directly related experience preferredMinimum of three years of acute or long-term care experience preferred, depending upon formal degree or trainingOne to three years of direct foodservice operational management experience, preferably in an acute or long-term care settingKnowledge of P&L accountability and contract-managed service experience is desirableRegistered Dietitian, Registered Diet Technician or Certified Dietary Manager certificate preferredMust be willing to participate in patient/resident satisfaction programs/activitiesServSafe certified highly desirableJob Type: Full-timeExperience:Management: 1 year (Required)food and nutrition: 1 year (Preferred)"
"37","Nutrition Assistant","Eastern Connecticut Health Network","Manchester, CT 06040","Manchester, CT 06040POSITION SUMMARY:
The Nutrition Assistant reports to the Clinical Nutrition Manager and performs a variety of tasks related to patient service. Provide a high level of customer service and exhibits appropriate customer service skills to all patients. Visits and assists inpatients with menu selections on assigned units on a daily basis. Meets patients’ special diet and/or cultural/religious needs with regard to menu selections. Collects and processes menus for assigned areas. Provides appropriate meals based on age/development/condition/food preferences. Utilizes Meditech computerized system with regard to diet orders, admissions, transfers, discharges, snacks and tube feedings. Utilizes proper telephone etiquette when dealing with phone calls. Knowledge and proficiency in all modified diets that are provided to inpatients. Corrects inpatient menus to be in compliance with diet order prescribed by physician and follows established guidelines. Communicates patient concerns to the Dietetic Technician, Dietitian or Manager. Provides care within JCAHO standards to maximize the quality of inpatient care. Participates in the orientation and training of new employees, students and volunteers.EDUCATION/CERTIFICATION
High school diploma or equivalent (GED).EXPERIENCE
Experience working with Meditech preferred.COMPETENCIES
Must be able to read, write, speak and comprehend English.
Knowledge of nutritional structure and different classes of peoples needs within that structure.
Utilizes the Meditech computerized system.
Demonstrates excellent communication skills.ESSENTIAL DUTIES and RESPONSIBILITES:
Disclaimer: Job descriptions are not intended, nor should they be construed to be, exhaustive lists of all responsibilities, skills, efforts or working conditions associated with the job. They are intended to be accurate reflections of the principal duties and responsibilities of this position. These responsibilities and competencies listed below may change from time to time.
 Job-Specific Competency
1. Assists patients with menu selection as needed, concentrating on special needs, such as evidenced by notes on “Patient Profile”, write-in food items on menus, initiation of snacks and supplements. Incorporates religious and cultural beliefs into menu selection. Obtains menus for new admissions as soon as possible. At end of shift, filled menus are to be in for all inpatients, including those with a diet order of clear and full liquids for breakfast the next day.
2. Demonstrates ongoing updating of computerized diet census sheets with neat, legible, accurate and current patient information.
3. Demonstrates handwriting on menus is legible and menu items are circled neatly. This includes accurate room number, accurate patient name, accurate diet order and any write-in menu items.
4. Demonstrates that entire diet order (as it appears on the computerized diet census sheet) is written legibly and accurately on each of the breakfast, lunch and dinner menus. Correct menu color is utilized according to diet order. Food allergies are written in red at the top of each of the breakfast, lunch and dinner menus (allergic to …). Correct menu for the day of the week is utilized.
5. Demonstrates that the mandatory fields on the “Patient Profile” (kardex) sheet are filled out for each patient and that the information is current. The mandatory fields include patient’s name, room number, age, date of admission, dates/diet orders, menu selection – whether patient is able to circle own menu, food allergies (to be written in red), snacks/PO supplements and any pertinent information included in the “nutritional information” section of the sheet. Handwriting is legible. Information is current and accurate.
6. Demonstrates the review/update of menus prior to each meal and organizes “hold trays” and menus of “NPO” patients for retrieval when a patient’s diet order status and PO intake resumes. Uses the most recent available diet orders, room transfer, and admission and discharge information.
7. Demonstrates that all snacks/PO supplements ordered have been entered into the Meditech computerized system. Deletes snacks in Meditech when a patient’s diet order has been changed to NPO. Re-enters snacks in Meditech when a patient’s diet order is resumed after being NPO.
8. Completes grill sheet, cold specials sheet and add-on sheet prior to each meal and completes daily meal census. Counts are accurate based on the most recent available information and are neat and legible.
9. Corrects and modifies inpatient menus to comply with diet order prescribed by the physician and utilizes established guidelines. Scores on inpatient menu audits are consistently above 90%.
10. Implements phone/computer orders for all new admissions, discharges, diet order changes or room changes. Follows-through with the new information with regard to diet census sheets, menus, patient profile and snacks/PO supplements in Meditech.
11. Participates in and completes customer service surveys.
12. Participates in Quality Improvement by tracking/monitoring an NPO indicator. Documentation daily on the designated form of inpatients whose diet orders should have been NPO will be completed.
13. Knowledge and application of JCAHO standards and Connecticut State Department of Health regulations.
14. Participates in clinical monthly inservices.
15. Attends monthly department meetings."
"38","NUTRITION & DINING SERVICES TECHNICIAN II - Host/Patient Meal Service","Bryan Health","Lincoln, NE 68506 (South 48th Street area)","Lincoln, NE 68506Part-timeGENERAL SUMMARY:
The Nutrition and Dining Services Technician II performs a variety of food production, serving duties, meal delivery to patients and/or care areas, interacts with patients and helps diet/meal selections, performs retail/sales duties, and assembles food items for cafeteria and patient meal service.
PRINCIPAL JOB FUNCTIONS:Commits to the mission, vision, beliefs and consistently demonstrates our core values.Uses NDS software to coordinate menu selections for patients and to complete menu system process.Introduces new patients to department services by providing information on meal service and menu selectins. Assists patients in making menu selections according to diet prescription, special cultural, religious or ethnic food preferences or requests. Offers alternative menu choices to ensure optimal food preferences are met within the guidelines of the diet prescriptionWorks collaboratively and conveys relevant information to the Clinical Dietitian and Dietetic Technician regarding nutrition issues or concerns with patients; ensures confidentiality in matters relating to patient/family.
Sets up/supplies service lines with food, utensils and related service supplies; sets up/supplies vending operations with required food/supplies as per diagrams/procedures; sets up/supplies Physicians Lounge with required food/supplies as per diagrams/procedures.Accurately and efficiently operates cash register on serving line; accurately makes customer change and performs cash/receipt reconciliation.Sets up, serves, facilitates and cleans up catered functions and events.Serves customers in an efficient, courteous manner in retail, physician and catering operations.Performs dish/pan/utensil washing and cleaning using manual or automated methods as directed.
Empties garbage and cleans/sanitizes garbage receptacles.
Cleans up assigned work areas/equipment as per directions/schedule; cleans assigned storage area floors.
Serves retail customers in an efficient, courteous manner.Assists in and accurately prepares food for cafeteria and/or catering activities as assigned.
Assures stocked levels of dining service related supplies in service areas.
Supports trayline operations as directed.Checks and updates diet orders via computer database.
Delivers designated trays, supplies and/or nourishments to patients or patient locations as scheduled.Safely operates equipment used within the assigned work area and reports malfunctions/breakdowns of equipment to supervisors immediately.
Understands chemical use related to the area of work and is aware of SDS usage and precautions or how to access SDS information.
Carries out cleaning assignments in a consistent and appropriate manner; cleans assigned area floors.
Orients new staff members in specified areas of responsibility and/or by position/ provides training in the use of equipment and procedural details within the area of work assigned.Performs other related duties as assigned.

(Essential Job functions are marked with an asterisk “*”. Refer to the Job Description Guide for the definition of essential and non-essential job functions.) Attach Addendum for positions with slightly different roles or work-specific differences as needed.
REQUIRED KNOWLEDGE, SKILLS AND ABILITIES:Knowledge of food service preparation methods and practices.
Knowledge of food nutrition, specialized diets and dietary recommendations.
Knowledge of computer hardware equipment and software applications relevant to work functions.
Ability to perform standard clerical and accounting tasks including data entry and cash reconciliation.
Ability to communicate effectively both verbally and in writing.
Ability to establish and maintain effective working relationships with all levels of personnel, medical staff, volunteer and ancillary departments including diverse patient populations.
Ability to interpret food production sheets and computer printout information.
Ability to safely operate applicable kitchen and hospital equipment (i.e. trayline assembly conveyor, mobile food equipment, silverware washer, soiled tray conveyor, dish lowerators).
Ability to perform work in a timely and efficient manner within strict timelines.
Ability to operate a cash register and reconcile cash with documented transactions.

EDUCATION AND EXPERIENCE:
Food Handler’s permit required. Must be 16 years of age or older.
PHYSICAL REQUIREMENTS:
(Physical Requirements are based on federal criteria and assigned by Human Resources upon review of the Principal Job Functions.)
(DOT)—Characterized as medium work requiring exertion of 20 to 50 pounds of force occasionally, and/or 10 to 25 pounds of force frequently, and/or greater than negligible up to 10 pounds of force constantly to move objects.
Requires walking or standing to a significant degree. Requires manual dexterity to assemble, prepare, package, display and deliver food products/items."
"39","US Army - Nutrition Care Specialist","United States Army","El Cajon, CA 92020","El Cajon, CA 92020The Nutrition Care Specialist works with Registered Dietitians (RD) counseling patients individually and in group settings, plans special diets for patients according to nutritional requirements, and creates menus and prepares small quantity foods.Job DutiesPerforms basic dietetic functions in a hospital, clinic, or field environmentProvides nutritional treatment and basic level counseling to patients in nutrition clinics, health promotion and wellness clinics and classroom settingsAssists dietitians or superiors in food service supervision, planning, and production operationsPerforms nutrition assessment screenings of individual patients for nutritional requirements and restrictions; provides recommendations on food item selectionTrainingJob training for a Nutrition Care Specialists currently requires 10 weeks of Basic Combat Training and seven weeks of Advanced Individual Training to include small quantity food preparation.Some of the skills you’ll learn are:Individual and classroom presentationsAssessment of a patient’s dietary requirements and restrictionsMenu planning to include recipe modification for special dietsBasic food preparation, large and small quantitiesFood safety and sanitationHelpful SkillsInterest in nutrition, health, biology, science, fitness, and chemistryAbility to communicate effectively to individuals and small groupsEnjoy helping and caring for othersRequired ASVAB Score(s)Operators & Food (OF): 95CompensationTotal compensation includes housing, medical, food, special pay, and vacation time.Earn Cash For In Demand JobsYou could earn up to $40,000 in cash bonuses just for enlisting under certain Military Occupational Specialties.Future Civilian CareersThe skills you’ll learn will help prepare you for a career within civilian hospitals, weight management clinics, nursing homes or rehabilitation centers. With a Nutrition Care Specialist background, you may consider a career as a Dietetic Technician, Dietary Manager, Nutrition Technician, Clinical Dietetic Technician, or Dietary Aide.Through your extensive Army medical training, real world experiences and with some additional study, you may be able to test for certification as an Association of Nutrition & Foodservice Professional’s Certified Dietary Manager (CDM) or the Academy of Nutrition and Dietetics’ Dietetic Technician, Registered (DTR) credential.PARTNERSHIP FOR YOUTH SUCCESS (PaYS) ProgramThose interested in this job may be eligible for civilian employment, after the Army, by enrolling in the Army PaYS program. The PaYS program is a recruitment option that guarantees a job interview with military friendly employers that are looking for experienced and trained Veterans to join their organization.HCAJohns Hopkins Hospital/Health SystemsNorthCrest Medical CenterCleveland ClinicAtlantic Health SystemBell Ambulance, Inc.Prince William Health SystemReliant Medical GroupYale-New Haven HospitalBaton Rouge General Medical CenterJob Type: Full-timeSalary: $30,000.00 to $60,000.00 /yearEducation:High school or equivalent (Required)Language:English (Required)Work authorization:United States (Required)Required travel:75% (Required)Additional Compensation:BonusesStore DiscountsWork Location:One locationMultiple locationsBenefits:Health insuranceDental insuranceVision insuranceRetirement planSigning bonusPaid time offParental leaveRelocation assistanceFlexible scheduleProfessional development assistanceTuition reimbursement"
"40","Dietary Technician","Bella Terra St. George","Saint George, UT 84790","Saint George, UT 847901+ years experienceCome and be a part of something big, and make truly a difference in someones life here at our facility! Bella Terra St. George currently has an opening for a talented Full Time Dietary Technician.
We offer competitive benefits, including medical, dental, vision, long-term and short-term disability, life, 401K with employer match, holiday pay, vacation and sick leave, and tuition reimbursement. We also provide flexible schedules and competitive wages.
 If you wish to work with a great team providing quality services, then apply today! If you wish to work with a great team providing quality services, then apply today!
Summary/Objective
In keeping with our organization’s goal of improving the lives of the Residents we serve, the Dietary Technician provides nutritional care to all Residents of the facility through monitoring, care planning and education. The Dietary Technician under limited supervision, makes recommended changes to the Residents’ diet in effort to help them reach their nutritional and medical goals.
Required Education and Experience
Associate’s degree in Food and Nutrition, Dietetics, Nutritional Sciences or similar field.
One year working as a dietary technician.
Essential Functions
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Provides nutrition services and medical nutrition therapy integrated with the Residents’ medical goals.
Evaluate, interpret, monitor and document the nutritional status and nutritional needs of Residents using established standards of care guidelines.
Identify and provide nutritional counseling to meet the cultural needs of Residents.
Bring high risk cases to the attention of the on-site dietician.
Write diet orders as needed.
Function as a member of the clinical interdisciplinary team.
Must be knowledgeable of individual care plans and support the care planning process by attending care planning meetings and making recommendations regarding nutritional needs of Residents.
Completes assigned MDS portions accurately and on time.
Follow established safety precautions when preforming tasks and using equipment and supplies.
Maintains the comfort, privacy and dignity of Residents and interacts with them in a manner that displays warmth, respect and promotes a caring environment.
Must answer and respond to call lights promptly and courteously when working in Guest care areas.
Communicates and interacts effectively and tactfully with Residents, visitors, families, peers and supervisors.
Attend and participate in departmental meetings and in-services as directed.
Recognize your role as part of the Quality Assurance and Performance Improvement (QAPI) efforts of your organization.
Attend trainings to build understanding and capacity to undertake QAPI work.
Carry out QAPI roles and responsibilities as assigned.
Follow established policies and procedures in support of QAPI efforts.
Look for and share with leadership ideas for improvement in the organization.
Communicate to leadership upon witnessing a positive outcome of a QAPI project or detecting barriers preventing project success.
Support QAPI efforts both verbally and non-verbally (i.e., via actions and attitude), including adjusting performance and practice in accordance with QAPI initiatives and findings.
Participate in compliance trainings as scheduled and adhere to compliance plan.
Legacy Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status."
"41","Dietetic Technician Formula and Human Milk Preparation Part-Time","Spectrum Health","Grand Rapids, MI","Grand Rapids, MIPart-time1+ years experienceAssists the Registered Dietitian with nutrition care of the patient by screening for nutrition risk and implementing interventions such as diet instruction and evaluation of nutrient intake.
Infant formula and breastmilk feeding preparation and delivery for Helen DeVos Children’s Hospital.
No patient care.
Interprets physician and Registered Dietitian orders for feeding. Calculates recipes based on feeding orders.

Utilizes electronic medical record and other software programs.

Cleans mixing tools and work area. Monitors stock of supplies and expiration dates.

Prepares formula and breastmilk mixtures using aseptic techniques in a clean area. Considers allergens and prevents cross-contamination.

Uses techniques and tools to precisely measure liquids and powders.

Follows standard work to maintain patient safety.

Delivers prepared feedings to nursing units.

Collaborates/communicates with other Clinical Dietetic Techs, Lead Clinical Dietetic Techs, Registered Dietitians, nursing staff, and patients’ fam
Basic Qualifications:
Education - High School Diploma or equivalent
Preferred Qualifications:
Education - Bachelor's Degree in Degree in Nutrition or Dietetics or equivalent
Experience - 1 year of experience typically gained through skills/knowledge/abilities in relevant area
Licenses -
Registered Dietetic Technician (DTR) Upon Hire

Spectrum Health grants equal employment opportunity to all qualified persons without regard to race, color, national origin, sex, disability, age, religion, genetic information, marital status, height, weight, sexual orientation, veteran status, or any other legally protected category."
"42","Dietetic Technician | Nutrition Services","HSHS Sacred Heart Hospital","Eau Claire, WI","Eau Claire, WI2+ years experienceResponsible for receiving and dispensing patient special diet and meal information. Provides the patients with accurate meals per prescribed diet.
Education

High School Diploma or GED-Required
Experience

2 Year(s)-Institutional Food Preparation-Required
Experience with specialty diet programs.
Certifications, Licenses and Registrations

Licensed as a Diet Technician preferred. Dietary Manager Certification preferred.
HSHS and affiliates is an Equal Opportunity Employer (EOE)."
"43","Food and Nutrition Services Director","Denison Nursing & Rehabilitation","Denison, TX 75021","Denison, TX 75021Position Summary:
The overall purpose of the Food and Nutrition Services Director position is to plan, develop, direct, and control the activities of the Food and Nutrition Services Department. This position is responsible for maintaining food service standards, policy and procedure, food and nutrition services staff, equipment, systems, regulatory requirements, and work areas, while providing the highest available quality of food service for residents.
Position Responsibilities:
The specific responsibilities of this position are described in the Essential Functions.
Qualifications/Experience/Requirements:The Food and Nutrition Services Director must meet one of the following within 90 days of hire:
A person who has completed the Certified Dietary Manager program and exam or must complete the program and pass the exam within one year of hire.
A certified food service manager.
Has similar national certification for food service management and safety from a national certifying body.
Has an associate’s or higher degree in food service management or in hospitality, if the course study includes food service or restaurant management, from an accredited institution of higher learning.
A qualified Dietitian
A graduate of a dietetic or dietetic technician program approved by the Academy of Nutrition and Dietetics, or the Association of Nutrition and Foodservice Professionals, whether conducted by correspondence or in a classroom.
Management/supervisory experience are necessary.
Experience in a long-term care setting is preferred.
Highly developed communication and interpersonal skills are needed.
Functional literacy in English is required.
Ability to train, supervise and direct food and nutrition services personnel in their proper duties and nutrition services procedures and techniques.
Must be knowledgeable of current regulatory Standards.
Vision must be adequate to read menus, recipes, spreadsheets etc.
Basic computer skills to include computer entry of food order, computer use for tray card program, and email.
Essential Functions:Develops and maintains standards for purchasing, storing, preparing and serving of food.
Establishes and maintains procedures to meet safety and sanitation standards in order to assure compliance with all governmental regulations.
With the administrator, establishes departmental goals and objectives.
Plans and administers departmental budget, including staffing levels.
Plans and directs regular schedule of work activities and assignments to assure effective food service to clients which may include working shifts in the kitchen, as budget allows.
Provide orientation, direct and train food and nutrition services personnel to ensure all standards of food handling procedures are properly followed and good sanitation and safety practices are being performed.
Supervise food preparation (ensure recipes are followed, use of proper cooking techniques and correct food presentation).
Order and budget control of food, supplies and supplements. Complete inventory as needed.
Monitor tray service and dining room (accurate food temperatures, portions, diets, and meal acceptance) and monitoring equipment maintenance.
Make daily rounds in assigned areas and evaluate food and nutrition services for areas of improvement or follow up.
Participate in the Interdisciplinary Team care planning conferences, Food Committee Meetings Resident Council Meetings (as requested), and QAPI.
With consultant dietitian, monitors nutritional status of residents using regular assessments, progress notes, and dietary care planning.
Prepares timely reports as may be requested/required by federal, state, community agencies, etc.
Develops and conducts, in conjunction with the consultant dietitian, regular in-service education to increase staff skills and knowledge.
Adjusts recipes/menus to meet nutritional requirements of residents with approval of consultant dietitian.
Assures correct procedures are followed in food preparation and inspects quantity, quality, temperature, and appearance of food prior to serving.
Evaluates resident acceptance of menu items and makes substitutions available as requested or required.
Establishes and maintains records/receipts regarding dietary operations.
With consultant dietitian, develops, establishes, and maintains nutritional care plans for residents.
Meets with DON or designee on weekly basis to discuss nutritional needs for residents through clinical care meetings
Responsible for providing job-specific orientation with all new food and nutrition service employees.
Maintains accurate and up to date information of diet orders, food and beverage preferences, food allergies and other meal-related information of tray card system.
Performs other duties/tasks as may be assigned.
Functions within the constraints of established policy and procedure consistent with accepted nutritional, food and nutrition services standards.
Is assigned responsibility/authority for decisions regarding food and nutrition services activities, but may consult with the administrator, consultant dietitian, or other resources as may be necessary or appropriate.
Attend required in-service training.
Communicates in a professional and courteous manner using effective verbal and non-verbal communication skills with residents, their families, and co-workers.
Maintains confidentiality of department, resident, employee information, communication, and documentation as well as compliance with the Health Insurance Portability and Accountability Act (HIPAA) regulations.
Clocks in and out for all working/training hours. Working off the clock will not be permitted at any time or for any reason.
Maintain compliance with Daybreak’s Compliance program and plan.
Adhere to the Daybreak Code of Conduct
These duties are not all-inclusive but provide minimum performance expectations and will be reviewed in the performance process."
"44","Dietary Technician","Eastern Connecticut Health Network","Vernon, CT 06066","Vernon, CT 06066Part-time1+ years experiencePOSITION SUMMARY:
The Dietary Technician works under the supervision of the Registered Dietitian (RD) and contributes to the quality of care by providing assistance to the RD's and ensuring that patients receive appropriate meals and support in the dining room.EDUCATION/CERTIFICATION:
Associate's degree in food and nutrition or pursuing degree required.
Registered Dietetic Technician (DTR) or eligible preferred.
CPR certification preferred.
DBT/Restraint Training preferred.
EXPERIENCE:
1 year work experience, preferably in a hospital setting.
COMPETENCIES:
Must be able to read, write, speak and comprehend English.
Will utilize the Meditech computerized system.
Excellent communication and counseling skills are required.
Communication skills, both verbal and written.
Organizational, interpersonal and customer service skills.
Attention to detail and ability to prioritize independently.
Ability to multitask and function well in a fast paced mental health environment.
ESSENTIAL DUTIES and RESPONSIBILITIES:
Disclaimer: Job descriptions are not intended, nor should they be construed to be, exhaustive lists of all responsibilities, skills, efforts or working conditions associated with the job. They are intended to be accurate reflections of the principal duties and responsibilities of this position. These responsibilities and competencies listed below may change from time to time.
Facilitate menu group and provide support and education to patients during menu completion process. Perform menu corrections for each meal to be consistent with Meal Plan outlined by RD.
Modify daily menu to accommodate food allergies.
Input meal selections into HealthTouch menu system.
Complete daily meal tallies. Communicate with kitchen any menu changes prior to meal service, if adjustment in meal plan is required.
Assist with meal selections for new admissions, based on default meal plan, if patient arrives prior to a meal. Coordinate with kitchen for late-tray if arrival is anticipated after meal service/close of kitchen.
Serve as checker on the tray line during each meal service; bring cart(s) to unit once all meal trays are assembled.
Assist in dining room organization and function; complete tray set up for meal service and perform cross- check of meal items to tray ticket.
Provide support and meal coaching to patients struggling with completion of meal. Provide 1:1 meal supervision as needed.
Obtain daily snack selections; set up morning and afternoon snacks.
Check and log refrigerator/freezer temperatures daily for both adolescent and adult kitchens.
Monitor and perform par stock for snacks, supplements and tube feeding formula on the unit; order nutritional supplements and enteral feeding formulas from distributor. Discard expired items daily and stock products utilizing FIFO method.
Maintain an organized log system of any issues/concerns that staff and/or patients may have with food service and addressing issues/concerns with Food Service Manager/Clinical Nutrition Manager.
Work with the unit manager and Quality Department on quality improvement efforts that are recommended and/or required.
Collaboration with the RD and assisting in patient care as needed."
"45","Registered Dietitian or Dietetic Technician Needed","Laurelwood Care Center","Johnstown, PA 15905","Johnstown, PA 15905REGISTERED DIETITIAN OR DIETETIC TECHNICIAN NEEDEDFull Time - Johnstown, PALaurelwood Care Center is a comprehensive skilled nursing facility dedicated to providing high-quality whole-patient care. Through its comprehensive onsite services including cardiac, orthopedic, wound and memory support, Laurelwood has come to revolutionize senior care, helping its clients maximize their health, well-being and overall quality of life during these critical elder years. This innovative center is now seeking a Registered Dietitian or a Dietetic Technician to apply the theories and practice of dietetics, nutrition, sound economy, food spoilage and sanitation to the Laurelwood community.The Registered Dietitian or Dietetic Technician will be responsible for supervising dietary personnel, and work directly on all aspects of day-to-day operations, including:Coordinate the resident assessment process and the development of comprehensive care plans for assessing the nutritional needs of each resident, including evaluation of criteria to determine nutritional status, management of the nutritional care plans, education of patient and families regarding diet therapy, and evaluating of resident menu selections to assure that nutritional requirements are met.Oversee clinical nutrition services including nutrition assessment for residents of the facility and providing nutrition-related advice and counseling to residents and families.Develops, revises and individualizes nutrition care plans based on information from the resident, medical record, family and health care team members.Assist in planning regular and therapeutic diets and menus.Collaborate effectively with other direct care staff and practitioners to assess and address resident nutritional concernsAssist the Director of Dining in reviewing and maintaining appropriate quality of meal preparation and meal service programsAdvises director of dietary and administration on resident care and food service matters.Complies with all regulatory standards, including federal, state and accrediting agencies and adheres to facility confidentiality, HIPAA regulations, and resident rights policies.Participates in facility-wide and departmental Quality Assurance/Performance Improvement (QAPI) Programs.Participates in and attends departmental meetings, staff development, and professional programs, as requested.Minimum of 1 year of food service experience in a long term care health facility or a senior living community is preferred. Dietitian candidates must be credentialed as a Registered Dietitian by the Commission on Dietetic Registration (CDR) and licensed by the Pennsylvania Licensing Board. Dietetic Technician candidates must be a graduate of a dietetic technician training program, approved by the American Dietetic Association.Job Type: Full-timeExperience:long-term care health facility or senior living community: 1 year (Preferred)License:Dietetic Technician (Required)Registered Dietitian (Required)Work Location:One location"
